dataset_name,file_name,column_name,data_type,missing_count,missing_percentage,unique_count,minimum,maximum,sample_values,profile_note
detailed_listings,listings.csv.gz,review_scores_communication,float64,1023,9.8659,107.0,1.0,5.0,4.94 | 4.93 | 4.89,
detailed_listings,listings.csv.gz,review_scores_location,float64,1023,9.8659,107.0,1.0,5.0,4.93 | 4.88 | 4.95,
detailed_listings,listings.csv.gz,review_scores_value,float64,1023,9.8659,146.0,1.0,5.0,4.83 | 4.79 | 4.59,
detailed_listings,listings.csv.gz,license,str,223,2.1506,9032.0,,,0363 607B EA74 0BD8 2F6F | 03635399E87602900F47 | 0363 E76E F06A C1DD 172C,
detailed_listings,listings.csv.gz,instant_bookable,float64,10369,100.0,0.0,,,,
detailed_listings,listings.csv.gz,calculated_host_listings_count,int64,0,0.0,20.0,1,24,2 | 4 | 1,
detailed_listings,listings.csv.gz,calculated_host_listings_count_entire_homes,int64,0,0.0,15.0,0,19,0 | 3 | 1,
detailed_listings,listings.csv.gz,calculated_host_listings_count_private_rooms,int64,0,0.0,14.0,0,15,2 | 1 | 0,
detailed_listings,listings.csv.gz,calculated_host_listings_count_shared_rooms,int64,0,0.0,5.0,0,10,0 | 1 | 10,
detailed_listings,listings.csv.gz,reviews_per_month,float64,1023,9.8659,680.0,0.01,92.56,4.15 | 4.88 | 0.96,
neighbourhoods_geojson,neighbourhoods.geojson,neighbourhood,str,0,0.0,22.0,,,Bijlmer-Oost | Oud-Noord | Noord-Oost,GeoJSON property or derived geometry type; lexical min/max not reported.
neighbourhoods_geojson,neighbourhoods.geojson,neighbourhood_group,object,22,100.0,0.0,,,,GeoJSON property or derived geometry type; lexical min/max not reported.
neighbourhoods_geojson,neighbourhoods.geojson,geometry_type,str,0,0.0,1.0,,,MultiPolygon,GeoJSON property or derived geometry type; lexical min/max not reported.
calendar,calendar.csv.gz,listing_id,BIGINT,0,0.0,10465.0,28871,1708158632781004601,613088 | 741043 | 800723,
calendar,calendar.csv.gz,date,DATE,0,0.0,378.0,2026-06-15,2027-06-27,2027-03-06 | 2027-03-29 | 2027-04-13,
calendar,calendar.csv.gz,available,BOOLEAN,0,0.0,2.0,,,False | True,
calendar,calendar.csv.gz,minimum_nights,BIGINT,0,0.0,56.0,1,800,11 | 26 | 55,
calendar,calendar.csv.gz,maximum_nights,BIGINT,0,0.0,169.0,1,2147483647,37 | 35 | 326,
detailed_reviews,reviews.csv.gz,listing_id,BIGINT,0,0.0,9432.0,28871,1704341300366137848,34559989 | 34561783 | 34581534,
detailed_reviews,reviews.csv.gz,id,BIGINT,0,0.0,545162.0,79730,1717984606216649127,928775656234006160 | 972363018841870664 | 985416705731032621,
detailed_reviews,reviews.csv.gz,date,DATE,0,0.0,5327.0,2010-08-16,2026-06-28,2021-05-24 | 2021-06-21 | 2024-10-19,
detailed_reviews,reviews.csv.gz,reviewer_id,BIGINT,0,0.0,523777.0,1,1711012061390045280,75034330 | 271082519 | 13338931,
detailed_reviews,reviews.csv.gz,reviewer_name,VARCHAR,1,0.0002,72308.0,,,Emmanuel | Kai | Marifer,
detailed_reviews,reviews.csv.gz,comments,VARCHAR,0,0.0,,,,"Ollie was great host, accommodated special requests. was very friendly and helpful.. The Tiny Houseboot was a unique ... | Saubere Unterkunft. Sehr netter Gastgeber! | It was great place to stay. Olle was very kind and helpful, amazing location as well, it was close to everything.",Exact distinct count skipped for high-cardinality free-text column.
